tree,order,trial,insert_time,search_time,range_time,delete_time,splits,insert_accesses,search_accesses,range_accesses,delete_accesses,avg_search_access,avg_range_access,avg_delete_access,utilization,height,total_nodes,leaf_nodes,found_count,total_range_retrieved,deleted_count,merge_count,borrow_count,redistributions,two_to_three_splits,fallback_splits,structure_valid,correct
BTree,3,1,0.045139,0.005994,0.015795,0,31365,913363,86927,629117,16282,8.6927,629.117,8.141,63.7471,9,31374,23213,10000,72437,2000,485,2136,0,0,0,true,true
BPlusTree,3,1,0.04762,0.005754,0.019777,0.00174,38598,769436,90000,29808,18000,9,29.808,9,66.6428,9,38607,28645,10000,72437,2000,24,196,0,0,0,true,true
BStarTree,3,1,0.053997,0,0.031627,0,26934,849118,77330,559873,16119,7.733,559.873,8.0595,74.2335,8,26942,20747,10000,72437,2000,103,839,23483,9841,17093,true,true
BTree,3,2,0.051688,0.006934,0.036665,0.000999,31365,913363,86830,626178,16289,8.683,626.178,8.1445,63.7471,9,31374,23213,10000,72089,2000,511,1921,0,0,0,true,true
BPlusTree,3,2,0.056034,0.006101,0.018087,0.002003,38598,769436,90000,29683,18000,9,29.683,9,66.6428,9,38607,28645,10000,72089,2000,15,218,0,0,0,true,true
BStarTree,3,2,0.054538,0,0.03163,0,26934,849118,77320,557287,16127,7.732,557.287,8.0635,74.2335,8,26942,20747,10000,72089,2000,116,877,23483,9841,17093,true,true
BTree,3,3,0.054142,0.007864,0.035052,0.001192,31365,913363,86821,626994,16358,8.6821,626.994,8.179,63.7471,9,31374,23213,10000,72183,2000,515,1999,0,0,0,true,true
BPlusTree,3,3,0.05527,0.007241,0.02262,0.001998,38598,769436,90000,29669,18000,9,29.669,9,66.6428,9,38607,28645,10000,72183,2000,29,225,0,0,0,true,true
BStarTree,3,3,0.057483,0.004979,0.032203,0.001003,26934,849118,77342,557998,16100,7.7342,557.998,8.05,74.2335,8,26942,20747,10000,72183,2000,117,1008,23483,9841,17093,true,true
BTree,3,4,0.069073,0.008813,0.035309,0.001999,31365,913363,86940,629937,16286,8.694,629.937,8.143,63.7471,9,31374,23213,10000,72519,2000,469,2051,0,0,0,true,true
BPlusTree,3,4,0.051245,0.00265,0.015133,0.010562,38598,769436,90000,29773,18000,9,29.773,9,66.6428,9,38607,28645,10000,72519,2000,31,234,0,0,0,true,true
BStarTree,3,4,0.047541,0,0.035925,0,26934,849118,77298,560635,16109,7.7298,560.635,8.0545,74.2335,8,26942,20747,10000,72519,2000,102,839,23483,9841,17093,true,true
BTree,3,5,0.045518,0.004992,0.026404,0.000993,31365,913363,86954,630738,16273,8.6954,630.738,8.1365,63.7471,9,31374,23213,10000,72617,2000,490,2153,0,0,0,true,true
BPlusTree,3,5,0.051739,0.009998,0.018098,0.003004,38598,769436,90000,29794,18000,9,29.794,9,66.6428,9,38607,28645,10000,72617,2000,29,241,0,0,0,true,true
BStarTree,3,5,0.052515,0.006001,0.027998,0.001001,26934,849118,77279,561282,16111,7.7279,561.282,8.0555,74.2335,8,26942,20747,10000,72617,2000,113,959,23483,9841,17093,true,true
BTree,3,6,0.052027,0.008001,0.037523,0.001,31365,913363,86833,630725,16406,8.6833,630.725,8.203,63.7471,9,31374,23213,10000,72616,2000,509,2264,0,0,0,true,true
BPlusTree,3,6,0.046568,0.005,0.02052,0.002085,38598,769436,90000,29835,18000,9,29.835,9,66.6428,9,38607,28645,10000,72616,2000,17,229,0,0,0,true,true
BStarTree,3,6,0.055616,0.004999,0.027003,0.000998,26934,849118,77385,561408,16104,7.7385,561.408,8.052,74.2335,8,26942,20747,10000,72616,2000,108,878,23483,9841,17093,true,true
BTree,3,7,0.042619,0.006271,0.032238,0.000605,31365,913363,86928,630341,16230,8.6928,630.341,8.115,63.7471,9,31374,23213,10000,72568,2000,474,1847,0,0,0,true,true
